"","Accipiter_nisus","Aegithalos_caudatus","Alauda_arvensis","Alcedo_atthis","Anas_platyrhynchos","Anser_anser","Anser_brachyrhynchus","Ardea_cinerea","Aythya_ferina","Aythya_fuligula","Branta_canadensis","Carduelis_carduelis","Chloris_chloris","Chroicocephalus_ridibundus","Circus_aeruginosus","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corone","Corvus_monedula","Cyanistes_caeruleus","Cygnus_olor","Dendrocopos_major","Egretta_garzetta","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Fringilla_coelebs","Fulica_atra","Gallinula_chloropus","Larus_argentatus","Larus_canus","Larus_fuscus","Mareca_penelope","Mareca_strepera","Mergus_merganser","Motacilla_alba","Numenius_arquata","Parus_major","Passer_domesticus","Periparus_ater","Phalacrocorax_carbo","Phasianus_colchicus","Pica_pica","Prunella_modularis","Pyrrhula_pyrrhula","Rallus_aquaticus","Regulus_regulus","Spatula_clypeata","Spinus_spinus","Streptopelia_decaocto","Sturnus_vulgaris","Tachybaptus_ruficollis","Tringa_totanus","Troglodytes_troglodytes","Turdus_iliacus","Turdus_merula","Turdus_philomelos","Turdus_viscivorus","Vanellus_vanellus"
"2_No",0,2,0,0,0,0,37,0,0,0,0,5,0,3,0,25,0,20,2,0,1,0,0,0,0,3,0,4,0,0,12,67,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0
"20_Yes",1,0,0,2,0,0,0,0,0,0,0,11,1,0,0,3,0,29,31,1,5,0,0,0,0,8,1,0,0,0,1,2,0,0,0,0,0,0,2,9,1,0,0,3,0,3,0,0,0,2,0,1,0,0,0,2,5,0,0,0
"21_No",0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,77,3,0,5,0,0,0,0,10,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,2,0,6,0,0,0
"22_Yes",0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,62,0,4,14,0,0,0,0,0,0,1,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
"3_Yes",0,4,0,0,34,28,0,0,0,28,0,5,0,187,0,2,0,15,13,0,14,3,1,0,0,7,0,2,35,16,9,15,0,0,0,2,0,0,13,2,0,0,0,3,2,0,0,0,0,3,0,4,0,0,2,0,5,0,2,0
"4_No",0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,24,0,21,1,0,5,0,0,0,0,5,1,3,0,0,4,2,0,0,0,0,1,0,7,11,0,0,0,9,8,0,0,0,0,3,1,0,0,0,2,0,6,1,0,0
"5_No",1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,20,6,0,6,0,0,0,0,3,0,0,0,0,7,31,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"6_Yes",1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,19,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7_No",0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,8,0,2,24,0,6,0,0,0,0,6,0,0,0,0,13,7,0,0,0,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,3,8,0,0,1,0,4,0,0,0
"8_Yes",0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,28,0,46,2,0,10,0,0,0,0,6,0,0,0,0,11,7,0,0,0,0,0,0,4,0,0,1,0,6,0,1,0,0,0,0,0,3,0,0,0,1,5,0,0,0
"9_No",0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,8,0,55,13,0,14,0,0,0,0,8,0,2,0,0,8,4,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0
