common_name,transect,transect_section,OBs,day,month,year,period,start_time,end_time,cloud,rain,wind,visibility,water,level_1_habitat,level_2_habitat,level_3_habitat,level_4_habitat,count,notes,Region.Label,...1,species,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,size_class,bocc5,...36,distbegin,distend,Factor,true_counts
Black-headed Gull,1,7,Africa Gomez,28,1,2024,2,09:41:00,10:19:00,1,1,1,1,Yes,F,1,3,3,10,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.258,38.75968992248062
Black-headed Gull,10,2,Matthew Morgan,3,2,2024,2,09:44:00,10:24:00,1,1,1,1,Yes,F,1,3,8,13,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.238,54.6218487394958
Black-headed Gull,22,1,Matthew Morgan,13,2,2024,2,08:30:00,08:57:00,3,1,2,2,Yes,F,1,1,2,14,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,52.04460966542751
Black-headed Gull,3,2,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,17,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,63.197026022304826
Black-headed Gull,14,9,Matthew Morgan,22,1,2024,2,10:06:00,11:04:00,2,1,3,1,No,F,1,3,8,11,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.258,42.63565891472868
Black-headed Gull,16,7,Africa Gomez,3,2,2024,2,10:04:00,10:27:00,3,1,1,1,No,F,1,3,2,2,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.258,7.751937984496124
Black-headed Gull,11,9,Matthew Morgan,26,1,2024,2,09:47:00,10:20:00,1,1,3,1,No,F,1,5,2,1,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.238,4.201680672268908
Black-headed Gull,3,1,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,36,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,133.82899628252787
Black-headed Gull,3,3,Matthew Morgan,16,6,2023,1,06:39:00,07:33:00,1,1,1,1,Yes,F,1,3,5,1,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,3.717472118959108
Black-headed Gull,6,2,Matthew Morgan,13,6,2023,1,06:55:00,07:40:00,1,1,1,1,Yes,H,3,6,6,1,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.238,4.201680672268908
Black-headed Gull,16,7,Africa Gomez,3,2,2024,2,10:04:00,10:27:00,3,1,1,1,No,F,1,3,2,1,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.258,3.875968992248062
Black-headed Gull,13,3,Matthew Morgan,22,1,2024,2,09:07:00,09:49:00,2,1,3,1,Yes,G,7,6,7,8,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.238,33.61344537815126
Black-headed Gull,19,2,Matthew Morgan,28,1,2024,2,09:17:00,09:55:00,1,1,1,1,No,F,1,3,6,2,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.258,7.751937984496124
Black-headed Gull,19,4,Matthew Morgan,28,1,2024,2,09:17:00,09:55:00,1,1,1,1,No,F,1,3,6,1,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.238,4.201680672268908
Black-headed Gull,3,4,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,100,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,371.74721189591077
Black-headed Gull,19,4,Matthew Morgan,28,1,2024,2,09:17:00,09:55:00,1,1,1,1,No,F,1,3,6,14,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.238,58.82352941176471
Black-headed Gull,9,10,Matthew Morgan,3,2,2024,2,11:00:00,11:47:00,1,1,1,1,No,F,1,5,7,1,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.238,4.201680672268908
Black-headed Gull,3,5,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,3,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,11.152416356877323
Black-headed Gull,3,3,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,1,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,3.717472118959108
Black-headed Gull,3,4,Matthew Morgan,7,5,2024,3,07:05:00,07:42:00,3,1,1,1,Yes,F,1,3,5,1,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,3.717472118959108
Black-headed Gull,15,1,Africa Gomez,3,2,2024,2,09:09:00,09:51:00,3,1,1,1,Yes,F,1,3,3,15,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,55.762081784386616
Black-headed Gull,1,9,Africa Gomez,28,1,2024,2,09:41:00,10:19:00,1,1,1,1,Yes,F,1,3,3,1,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.258,3.875968992248062
Black-headed Gull,22,2,Africa Gomez,10,6,2023,1,06:57:00,07:19:00,1,1,2,1,Yes,F,1,7,7,1,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,3.717472118959108
Black-headed Gull,15,2,Africa Gomez,3,2,2024,2,09:09:00,09:51:00,3,1,1,1,Yes,F,1,3,3,2,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,7.434944237918216
Black-headed Gull,16,10,Africa Gomez,3,2,2024,2,10:04:00,10:27:00,3,1,1,1,No,F,1,3,2,1,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.238,4.201680672268908
Black-headed Gull,3,2,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,4,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,14.869888475836431
Black-headed Gull,1,10,Africa Gomez,28,1,2024,2,09:41:00,10:19:00,1,1,1,1,Yes,F,1,3,3,16,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.258,62.01550387596899
Black-headed Gull,3,5,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,2,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,7.434944237918216
Black-headed Gull,17,9,Matthew Morgan,27,1,2024,2,10:20:00,11:02:00,1,1,3,1,Yes,G,7,6,7,20,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,74.34944237918215
Black-headed Gull,3,2,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,1,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,3.717472118959108
Canada Goose,3,3,Matthew Morgan,7,5,2024,3,07:05:00,07:42:00,3,1,1,1,Yes,F,1,3,5,3,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,25,100,0.297,10.101010101010102
Canada Goose,3,2,Matthew Morgan,19,6,2024,4,07:11:00,08:01:00,1,1,1,1,Yes,F,1,3,5,50,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,25,100,0.297,168.35016835016836
Canada Goose,3,1,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,4,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,13.468013468013469
Canada Goose,3,4,Matthew Morgan,19,6,2024,4,07:11:00,08:01:00,1,1,1,1,Yes,F,1,3,5,15,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,50.505050505050505
Canada Goose,15,1,Africa Gomez,3,2,2024,2,09:09:00,09:51:00,3,1,1,1,Yes,F,1,3,3,71,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,25,100,0.297,239.05723905723906
Canada Goose,15,3,Africa Gomez,6,5,2024,3,07:03:00,07:42:00,2,1,1,1,Yes,F,1,3,3,2,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,25,100,0.297,6.734006734006734
Canada Goose,3,3,Matthew Morgan,16,6,2023,1,06:39:00,07:33:00,1,1,1,1,Yes,F,1,3,5,48,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,161.61616161616163
Canada Goose,3,5,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,36,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,121.21212121212122
Canada Goose,15,2,Africa Gomez,6,5,2024,3,07:03:00,07:42:00,2,1,1,1,Yes,F,1,3,3,5,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,16.835016835016837
Canada Goose,3,4,Matthew Morgan,7,5,2024,3,07:05:00,07:42:00,3,1,1,1,Yes,F,1,3,5,19,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,63.97306397306398
Canada Goose,3,3,Matthew Morgan,19,6,2024,4,07:11:00,08:01:00,1,1,1,1,Yes,F,1,3,5,6,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,20.202020202020204
Canada Goose,15,2,Africa Gomez,12,6,2023,1,07:00:00,07:35:00,1,1,1,1,Yes,F,1,3,3,53,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,178.45117845117846
Canada Goose,15,1,Africa Gomez,6,5,2024,3,07:03:00,07:42:00,2,1,1,1,Yes,F,1,3,3,1,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,3.367003367003367
Canada Goose,15,3,Africa Gomez,6,5,2024,3,07:03:00,07:42:00,2,1,1,1,Yes,F,1,3,3,9,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,30.303030303030305
Canada Goose,15,2,Africa Gomez,19,6,2024,4,06:55:00,07:47:00,2,1,1,1,Yes,F,1,3,3,40,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,134.6801346801347
Canada Goose,3,2,Matthew Morgan,16,6,2023,1,06:39:00,07:33:00,1,1,1,1,Yes,F,1,3,5,42,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,141.41414141414143
Canada Goose,3,3,Matthew Morgan,7,5,2024,3,07:05:00,07:42:00,3,1,1,1,Yes,F,1,3,5,2,NA,open,3,Branta canadensis,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na,0,25,0.297,6.734006734006734
